id,author,platform,approx_date,time_relative,scraped_date,likes,comments,reposts,text_length,content_hash,tags,preview,chunk_count,indexed
mitko-26,Mitko Vasilev,linkedin,2026-02-03,3w,2026-02-24T13:17:35.978Z,97,8,4,1377,310e87025660,claude-code|hardware|agents|benchmarks|enterprise,Working with a massive codebase isn't hard because it’s big. It's hard because i,0,False
mitko-27,Mitko Vasilev,linkedin,2026-02-03,3w,2026-02-24T13:17:35.978Z,315,57,12,1007,6f28ed1c6240,claude-code|hardware|agents|benchmarks|enterprise|opencode,"I benchmarked Claude Code vs Opencode. Same GPU, same software, same “review the",0,False
mitko-28,Mitko Vasilev,linkedin,2026-02-03,3w,2026-02-24T13:17:35.978Z,218,71,11,1783,1aacc1548c32,local-ai|hardware|agents|self-improving|opencode,"I just wanted to create an AI civilization, but it became a tiny AI beehive.   5",0,False
mitko-29,Mitko Vasilev,linkedin,2026-02-03,3w,2026-02-24T13:17:35.978Z,135,40,2,1430,a450cd36dd6e,hardware|agents|benchmarks|opencode,I’m bootstrapping an AI-only civilization instead of staring at the fridge. I’m,0,False
mitko-30,Mitko Vasilev,linkedin,2026-02-03,3w,2026-02-24T13:17:35.978Z,202,36,6,576,1747484d2906,hardware|agents|opencode,What time is it? It’s OpenClaw O’Clock 🤓 I can spawn a 10-agent swarm from my wr,0,False
mitko-31,Mitko Vasilev,linkedin,2026-02-03,3w,2026-02-24T13:17:35.978Z,624,114,25,799,837fdc0d9542,local-ai|agents|opencode,I just upgraded to OpenClaw. Missed the ClawdBot → MoltBot rebrand as I was head,0,False
mitko-32,Mitko Vasilev,linkedin,2026-02-03,3w,2026-02-24T13:17:35.978Z,56,6,5,1168,b39dd84cffec,,"Everyone's hyping 2026 as the “Big Year of Continual Learning,"" but right now we",0,False
mitko-33,Mitko Vasilev,linkedin,2026-02-03,3w,2026-02-24T13:17:35.978Z,81,9,3,807,f5cb2f8332fb,hardware|agents,Kimi K2.5 tech report just dropped when I was ready to disconnect with my Friday,0,False
mitko-34,Mitko Vasilev,linkedin,2026-02-03,3w,2026-02-24T13:17:35.978Z,107,41,2,946,3f8799235ac9,local-ai|hardware|open-source|benchmarks|enterprise,ZGX. GLM-4.7-FLASH. LOCAL AI. PERFORMANCE NUMBERS.  • Peak generation throughput,0,False
mitko-35,Mitko Vasilev,linkedin,2026-02-03,3w,2026-02-24T13:17:35.978Z,278,52,9,1113,6ea19cba46a9,hardware|agents|enterprise,I just fired up Kimi Code CLI → Kimi-K2.5 running local on my GPU workstation. N,0,False
mitko-36,Mitko Vasilev,linkedin,2026-02-03,3w,2026-02-24T13:17:35.978Z,160,36,6,362,0afea5201bd0,claude-code,▐▛██▜▌  Claude Code v2.1.23  ▝████▘ Kimi-K2.5 · API Usage Billing   ▘▘ ▝▝   ~/de,0,False
mitko-37,Mitko Vasilev,linkedin,2026-02-03,3w,2026-02-24T13:17:35.978Z,589,134,14,871,538365d34693,claude-code|hardware|agents|open-source|quantization|benchmarks|enterprise|opencode,Say hello to my little friend!  ZGX Nano with NVIDIA Blackwell GB10   The damage,0,False
mitko-38,Mitko Vasilev,linkedin,2026-01-27,4w,2026-02-24T13:17:35.978Z,693,33,42,755,78242db21e9c,hardware|open-source,"DeepSeek just released the first vision AI that reads like a human, DeepSeek-OCR",0,False
mitko-39,Mitko Vasilev,linkedin,2026-01-27,4w,2026-02-24T13:17:35.978Z,198,43,6,1043,d0d024aa9f18,hardware|agents|enterprise,My AI agent isn't stuck because it can't code. It's stuck because it can't stop,0,False
mitko-40,Mitko Vasilev,linkedin,2026-01-27,4w,2026-02-24T13:17:35.978Z,274,63,3,545,76c0df7480e6,hardware|benchmarks|minimax,I’ve been dodging the Clawd mania as I’m not a consumer AI type of guy.  But fin,0,False
mitko-41,Mitko Vasilev,linkedin,2026-01-27,4w,2026-02-24T13:17:35.978Z,214,23,3,717,f82828a5e7a1,claude-code|agents|open-source,"And on the seventh day, he rested… but kept Claude Code O’Clock open on his Appl",0,False
mitko-42,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,764,100,20,623,0f38fbc4e071,claude-code|agents|enterprise,What time is it? It’s Claude Code o’clock. This needs a voice interface with whi,0,False
mitko-43,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,530,58,6,635,b6118b5777d8,claude-code|agents|open-source|benchmarks,"I’m on my terrace. It’s cold. I live up in the mountains, next to a river. Kindl",0,False
mitko-44,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,0,211,97,1215,9c37011b1a03,claude-code|hardware|agents|quantization,Cute how devs think they’re gaming the system with $200/month for unlimited Clau,0,False
mitko-45,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,227,53,3,1280,199c9ac02873,claude-code|hardware|open-source|benchmarks,I just put my MacBook Air on fire by running GLM-4.7-Flash at a blistering 38.52,0,False
mitko-46,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,196,71,6,606,39d0c556b7a6,claude-code|hardware|open-source|benchmarks|opencode,"GLM-4.7-Flash is fast, good and cheap.  3,074 tokens/sec peak at 200k tokens con",0,False
mitko-47,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,161,35,7,465,ebe4fa302c17,hardware|agents,10k active agents 35:1 AI-to-human ratio Things are getting crowded on a single,0,False
mitko-48,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,204,27,8,873,fbf4ac34ffb9,claude-code|hardware|agents|open-source|benchmarks|opencode,"Well, hello GLM-4.7-Flash, the best on device AI coding and agentic model!  I’m",0,False
mitko-49,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,126,24,3,1095,bbc341c8fe25,claude-code|agents|enterprise|opencode,"It’s cold outside, so I spent my Sunday doing what every normal person does on a",0,False
mitko-50,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,191,35,11,1027,a7f07d094419,claude-code|agents|infrastructure,"It’s not you, `kubectl`. It’s me. I’m evolving. Breaking up with my old CLI wrap",0,False
mitko-51,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,200,21,5,1157,7ed2eb1aab89,hardware|open-source,You know who'll never make you watch ads? Your LLM running on your localhost 😂 I,0,False
mitko-52,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,267,21,12,667,6c86c9568a79,claude-code|local-ai|hardware|agents,"Google just packed “Google Translate” into an LLM.  Здравей, Hello, Hola, Bonjou",0,False
mitko-53,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,161,45,4,714,cb79d0b9863c,hardware|agents|open-source|benchmarks,"🌙 GOOD EVENING, AI AGENTS!  Night shift starts now. Mitko = offline. GPUs = just",0,False
mitko-54,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,279,45,10,1171,7ca0a946f8d2,claude-code|hardware|agents|open-source|benchmarks|minimax,I’m hooked on using Claude Code on Kindle. E-readers are the perfect mobile AI f,0,False
mitko-55,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,125,25,4,805,ea0e667de4ce,claude-code|open-source|benchmarks,Me: Claude Code on my Kindle? Anthropic: No web integration. No app. Go back to,0,False
mitko-56,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,498,97,13,786,be1cc7bd1a00,claude-code|local-ai|hardware|agents|benchmarks,I just achieved peak geek. I’m running Claude Code with a local LLM on my GPU wo,0,False
mitko-57,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,178,48,0,1011,ab19ffa471e3,hardware,Living in the mountain forest sounds romantic until you realize your intake fans,0,False
mitko-58,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,181,28,1,954,7df0b51c1237,local-ai|agents|open-source|benchmarks|opencode,My opencode just vibe-coded over Linus Torvalds’ first vibe-coded code. It’s lik,0,False
mitko-59,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,411,114,6,535,a332a66bd72f,claude-code|local-ai|hardware|agents,My Sunday evening stack: Me: Couch → Phone → ssh → tmux → Claude Code → AI-OS →,0,False
mitko-60,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,420,42,18,1240,b07eb2bb86ab,local-ai|agents|open-source|enterprise,Saturday morning build note. Last night I open-sourced something I didn’t origin,0,False
mitko-61,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,179,34,13,1331,1dc8c2c39a87,agents|enterprise,"🛡️ Marked safe from the Great Claude Coding Plan Unlawful Use Crackdown. So, Ant",0,False
mitko-62,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,390,60,19,471,1fb788ba9667,claude-code|local-ai|hardware|agents|benchmarks,I'm running Claude Code offline locally on my MacBook Air.  NVIDIA Nemotron Nano,0,False
mitko-63,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,253,50,11,1118,26f33670e505,claude-code|local-ai|agents,You know Claude Code works really well with local LLMs. Most people treat Claude,0,False
mitko-64,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,0,91,43,1520,c53c036c8356,claude-code|local-ai|agents|enterprise|minimax,"You love Claude Code. I love Claude Code. It’s great at coding, running tests, a",0,False
mitko-65,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,665,105,25,557,6a9975c6b37a,claude-code|open-source,I found the Holy Grail! Claude Code works non-stop with a local coding LLM. GLM-,0,False
mitko-66,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,103,14,5,1020,1da4a2632622,claude-code|hardware|agents|benchmarks|minimax,"You wake up on Monday morning, and you don't want a chat. You want a finished re",0,False
mitko-67,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,130,24,7,1479,674df5a2f516,hardware|benchmarks,I just did what any reasonable engineer does before Sunday brunch: taught my AI,0,False
mitko-68,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,193,31,2,1397,c7d4d9d3e0f1,claude-code|local-ai|hardware|agents|benchmarks|enterprise|minimax,I just stress-tested the Beast: MiniMax-M2.1 on Z8 Fury G5. 2101 tokens/sec. FOR,0,False
mitko-69,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,130,18,1,289,af9ea1a32534,claude-code|open-source|opencode,"Lol, AI, take a chill pill! I have to ask my wife first 🤗  I've asked Claude Cod",0,False
mitko-70,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,249,66,9,861,0638d5f349c0,local-ai|hardware,My 2026 prediction: Big Tech is gentrifying us out of our own AI compute  Let’s,0,False
mitko-71,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,59,7,1,1917,c94aba2e6225,agents|benchmarks,"I just got Live Learning running in CASA, and it’s less “chatbot vibes” and more",0,False
mitko-72,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,212,22,7,876,a1b8550b4624,agents,I built a real time AI agent that runs at 100Hz... just spent the holidays makin,0,False
mitko-73,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,141,14,10,1509,1abd2fad82d0,hardware|open-source|enterprise,Wow it’s raining Korean open AI models today. Did someone leave the faucet runni,0,False
mitko-74,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,178,23,16,2100,72dddeb6e1cf,agents|benchmarks|enterprise,"Spotify Engineering just shared how they've merged 1,500+ AI-generated PRs in a",0,False
mitko-75,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,107,13,3,1239,d856372c8461,hardware|open-source|benchmarks|self-improving,I just generated 681 tokens/sec on one GPU with a 8B model in BF16. So stop me i,0,False
mitko-76,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,483,65,20,1093,e15d5cd9897e,claude-code|local-ai|hardware|minimax,I just got Claude Code to control my Air Fryer. Local AI is a game changer for h,0,False
mitko-77,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,84,4,4,999,c707b0725d01,hardware|open-source|benchmarks|minimax,Happy MiniMax M2.1 release day to those who celebrate!   I’m deep in a Stranger,0,False
mitko-78,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,150,23,1,623,7e140e6005b7,local-ai|hardware|open-source|quantization|benchmarks,All I want for Christmas is an AMD Ryzen AI 395+ with 256GB of RAM.  I just got,0,False
mitko-79,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,299,40,0,429,2051fc922193,agents,Loading real time AI agents... [██████████] 100% Xmas morning is the ultimate ha,0,False
mitko-80,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,235,33,9,1168,7a33b5bf1e2b,local-ai|agents|open-source|quantization|benchmarks|opencode,"Me “I want to build a website for FTE+AI, but I’m not a website guy. Should I as",0,False
mitko-81,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,227,50,19,2142,11e3ec124b97,local-ai|agents|open-source|benchmarks|enterprise|infrastructure,I’m tinkering with real-time AI agents. The current agentic demos are just expen,0,False
mitko-82,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,228,46,13,1441,0191eecb1f75,claude-code|local-ai|hardware|agents|open-source|benchmarks|enterprise|minimax,We are hitting an inflection point in closed vs. open AI models that is honestly,0,False
mitko-83,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,246,35,2,552,b2155d3b51eb,hardware,My 2025 Wrapped:  🥇 #1 AI Bulgaria 🥇 #1 IT&Tech LinkedIn Bulgaria 🥉 #3 LinkedIn,0,False
mitko-84,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,200,27,9,513,ad4806c560fe,hardware|open-source,"I was about to close for the day but GLM-4.7 just dropped. It isn't a model, it’",0,False
mitko-85,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,119,17,6,1275,6cb1dc8af76e,local-ai|hardware|quantization|infrastructure,I’m running MiMo-VL-Miloco-7B right here on my local GPU. For those who don't sp,0,False
mitko-86,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,241,30,18,2078,c82ce9db5b5a,claude-code|local-ai|hardware|agents|open-source|enterprise|infrastructure,I just open-sourced FTE+AI: an AI agent framework that helps R&D orgs replace ou,0,False
mitko-87,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,125,20,12,1295,a8377898149b,hardware,"Remember that friend who agrees you were totally right in that argument, even wh",0,False
mitko-88,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,191,27,7,1307,269ab0884776,claude-code|agents|enterprise|minimax,I’ve got early access to MiniMax M2.1 and now testing it with the final boss of,0,False
mitko-89,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,74,3,1,1140,6ae8c6885b37,agents|open-source,I need to review the phone AI agents landscape. We've been duct-taping vision +,0,False
mitko-90,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,119,6,7,989,c1b9a2c6b104,open-source,"Native Multimodal Function Calling is here, and it's giving AI eyes, hands, and",0,False
mitko-91,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,127,22,5,1151,c45b3ac5bf19,hardware|agents|open-source|quantization|benchmarks,True story. The same company that quietly patrols my living room on Sunday mappi,0,False
mitko-92,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,122,25,3,861,f4eaf53b448f,local-ai|hardware|agents|benchmarks,"My setup is my MacBook Air as the beautiful Vibe terminal, AMD Ryzen AI PC as th",0,False
mitko-93,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,93,16,1,1144,c5a967cd42a1,hardware,"I think one Devstral-2 Small 24B is not enough, but a dense Devstral-2 123B is t",0,False
mitko-94,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,196,23,7,1076,fba6a752080c,local-ai|hardware|agents|benchmarks|minimax,I just paired Mistral's Vibe AI agent + Devstral-2 like good wine and cheese. On,0,False
mitko-95,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,193,31,4,921,f89668580cf0,local-ai|hardware|agents|benchmarks|enterprise,"I haven’t used Mistral for ages, but this is going to change today. New Devstral",0,False
mitko-96,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,192,9,8,1304,842b0eb53d17,hardware|agents|open-source,NVIDIA just open-sourced the espresso machine for when your agentic AI needs a c,0,False
mitko-97,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,204,21,9,1096,fab2bb6e5302,hardware|agents|open-source|benchmarks,Happy DeepSeek Release Day to those who celebrate! DeepSeek just open-sourced tw,0,False
mitko-98,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,291,19,17,1278,1f24dba72e50,hardware|agents|self-improving,I believe the future isn't bigger models. It's smaller models with bigger Rolode,0,False
mitko-99,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,118,13,2,1836,43b4dc368936,local-ai|hardware|open-source|benchmarks|enterprise|infrastructure,I’m using my Sunday afternoon to train a model to translate natural language int,0,False
mitko-100,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,162,22,12,1034,6440dd6923bd,hardware|benchmarks,I just finished testing the new Meta's Omnilingual ASR models and my GPU now und,0,False
mitko-101,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,189,24,3,741,1a0783864895,local-ai|hardware|self-improving,I resurrected my AMD Ryzen AI NPU under Ubuntu. A couple of espressos and abraca,0,False
mitko-102,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,315,53,5,830,f707c9be5929,claude-code|hardware|agents|enterprise|minimax,I’m testing the idea of an AI agent dev box. A Z2 exocortex to upgrade my MacBoo,0,False
mitko-103,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,389,18,21,987,b485ebccc385,open-source,"DeepSeek is back!! Just dropped the first open model to achieve IMO Gold. Not ""g",0,False
mitko-104,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,591,79,15,864,ad37f6ad1aab,hardware|agents|benchmarks|enterprise|minimax,I just hit 620 tokens/sec 2.2M tokens/hour; 6000 concurrent sessions 1.1M+ sessi,0,False
mitko-105,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,763,50,48,837,e0b011c1bc3f,local-ai|hardware|agents|quantization,"Microsoft just released Fara-7B, an on-device AI Computer Use Agent that actuall",0,False
mitko-106,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,753,102,28,773,65e81a6c7db6,claude-code|local-ai|hardware|agents|benchmarks|enterprise|minimax,I run 20 AI coding agents locally on my desktop workstation at 400+ tokens/sec w,0,False
mitko-107,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,169,20,8,1277,d4caebf190aa,hardware|infrastructure,NVIDIA just stuff 3 LLMs in a trench coat and sneak them past the GPU OOM bounce,0,False
mitko-108,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,266,26,10,983,acef7abccc39,hardware|open-source|enterprise,WESTERN AI STRIKES BACK! The open source Olmo 3 LLMs are here. I’m running the 3,0,False
mitko-109,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,128,18,4,1179,26c5faf8f918,benchmarks|self-improving,Yay! Cogito v2.1 671B is the first competitive open large LLM from the U.S.A.🇺🇸🦅,0,False
mitko-110,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,351,57,6,1123,c079308d76d6,local-ai|hardware,"Google just dropped Antigravity, their new AI IDE. Another day, another VSCode f",0,False
mitko-111,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,0,116,154,1328,07c8d6691b6b,local-ai,Stanford just researched the cloud’s biggest nightmare: local AI is actually goo,0,False
mitko-112,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,130,15,6,1011,062dd6259c7f,agents|open-source,AI vendor lock-in is so 2023. Running AI agents without an abstraction layer is,0,False
mitko-113,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,239,29,9,741,70c1af348742,local-ai|hardware|open-source|quantization,I just watched THE 2025 AI plot twist... and it's currently melting my desktop G,0,False
mitko-114,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,223,34,2,1429,0854dda0c413,local-ai|hardware|agents|open-source|quantization|benchmarks,I just successfully waterboarded my Z8 into running Kimi K2 Thinking locally thr,0,False
mitko-115,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,128,36,1,963,d24ac98a9e6a,local-ai|hardware|agents|quantization|benchmarks|minimax,"I'm stress-testing loooong, agentic coding workflows on a single, small-GPU mach",0,False
mitko-116,Mitko Vasilev,linkedin,,,2026-02-24T13:17:35.978Z,174,28,3,1191,5dd99682db3d,local-ai|hardware|agents|benchmarks|minimax,"I have just vibe coded a feature for ODA on-device AI with MiniMax M2, running l",0,False
